date,count,count_source,late_arrivals,derived,notes
2025-10-31,24,SMC roll call,,TRUE,Annie + 23 others
2025-11-01,33,SMC roll call,,TRUE,Annie + 32 others; calf born after roll call
2025-11-02,20,SMC roll call,,FALSE,Park counted 35
2025-11-03,13,SMC roll call,,FALSE,
2025-11-04,39,SMC roll call,,FALSE,
2025-11-05,26,SMC roll call,,FALSE,
2025-11-06,32,SMC roll call,,TRUE,Annie + calf + 30 others
2025-11-07,17,SMC roll call,,FALSE,
2025-11-10,14,SMC roll call,,TRUE,Annie + 13 others (15 if calf not among the 13)
2025-11-11,60,SMC roll call,,FALSE,
2025-11-12,194,SMC roll call,,FALSE,
2025-11-13,269,SMC roll call,,FALSE,
2025-11-14,313,SMC roll call,,FALSE,
2025-11-17,179,SMC roll call,,FALSE,
2025-11-18,155,SMC roll call,,FALSE,
2025-11-19,135,SMC roll call,,FALSE,
2025-11-20,66,SMC roll call,,FALSE,
2025-11-21,66,SMC roll call,,TRUE,Same as previous day
2025-11-24,29,SMC roll call,,FALSE,
2025-11-25,26,SMC roll call,,FALSE,
2025-11-26,14,SMC roll call,,FALSE,
2025-11-27,11,SMC roll call,,FALSE,
2025-11-28,59,SMC roll call,,FALSE,
2025-11-29,136,SMC roll call,,FALSE,
2025-11-30,173,Park staff,,TRUE,From Nov 29 entry; no SMC count
2025-12-01,131,SMC roll call,,FALSE,
2025-12-02,106,SMC roll call,,FALSE,
2025-12-03,100,SMC roll call,,FALSE,
2025-12-04,102,SMC roll call,,FALSE,
2025-12-05,72,SMC roll call,,FALSE,
2025-12-08,72,SMC roll call,,FALSE,
2025-12-09,163,SMC roll call,,FALSE,
2025-12-10,329,SMC roll call,,FALSE,
2025-12-11,414,SMC roll call,,FALSE,
2025-12-12,422,SMC estimate,,FALSE,Park counted 450
2025-12-13,452,SMC roll call,,FALSE,Park counted 670
2025-12-16,504,SMC roll call,,FALSE,
2025-12-17,484,SMC roll call,,FALSE,
2025-12-18,415,SMC roll call,,FALSE,
2025-12-19,159,SMC roll call,,FALSE,
2025-12-23,185,SMC roll call,,FALSE,
2025-12-24,170,SMC roll call,,FALSE,
2025-12-25,104,SMC roll call,,FALSE,
2025-12-26,78,SMC roll call,,FALSE,
2025-12-29,77,SMC roll call,,FALSE,
2025-12-30,169,SMC roll call,,FALSE,
2025-12-31,477,SMC estimate,,FALSE,Described as a low estimate
2026-01-01,645,SMC roll call,,FALSE,
2026-01-02,550,SMC roll call,,FALSE,
2026-01-04,516,SMC roll call,,FALSE,
2026-01-05,556,SMC roll call,,FALSE,
2026-01-06,382,SMC roll call,,FALSE,
2026-01-07,219,SMC roll call,,FALSE,
2026-01-08,161,SMC roll call,,FALSE,
2026-01-09,99,SMC roll call,,FALSE,
2026-01-11,23,Park staff,,TRUE,From Jan 12 entry
2026-01-12,160,SMC roll call,,FALSE,
2026-01-13,243,SMC roll call,,FALSE,
2026-01-14,193,SMC roll call,,FALSE,
2026-01-15,276,SMC roll call,,FALSE,
2026-01-16,626,Park staff,,FALSE,No SMC count; SMC ID'd 209
2026-01-18,489,SMC roll call,,FALSE,
2026-01-19,618,SMC estimate,,FALSE,Park counted 825
2026-01-20,755,SMC roll call,,FALSE,
2026-01-21,770,SMC roll call,,FALSE,
2026-01-22,612,SMC roll call,,FALSE,Down 158 from Jan 21
2026-01-23,330,SMC roll call,,FALSE,
2026-01-24,264,SMC roll call,,FALSE,
2026-01-25,139,SMC roll call,,FALSE,
2026-01-26,67,SMC roll call,,FALSE,
2026-01-27,241,Park staff,,FALSE,No SMC count
2026-01-28,593,SMC roll call,,FALSE,
2026-01-29,678,SMC roll call,,FALSE,
2026-01-30,606,SMC roll call,,FALSE,
2026-02-02,834,SMC roll call,,FALSE,Season high
2026-02-03,677,SMC roll call,,FALSE,
2026-02-04,588,SMC roll call,,FALSE,
2026-02-05,595,SMC roll call,,FALSE,
2026-02-06,425,SMC roll call,,FALSE,Likely undercount
2026-02-07,471,SMC roll call,,FALSE,
2026-02-09,405,SMC roll call,,FALSE,
2026-02-10,228,SMC roll call,,FALSE,
2026-02-11,354,SMC roll call,,FALSE,
2026-02-12,289,SMC roll call,,FALSE,
2026-02-13,233,SMC roll call,,FALSE,
2026-02-16,138,SMC roll call,,FALSE,
2026-02-17,185,SMC roll call,,FALSE,
2026-02-18,166,SMC roll call,,FALSE,
2026-02-19,50,SMC roll call,,FALSE,
2026-02-20,19,SMC roll call,,FALSE,
2026-02-23,83,SMC roll call,,FALSE,
2026-02-24,331,SMC roll call,,FALSE,
2026-02-25,493,SMC roll call,,FALSE,
2026-02-26,474,SMC roll call,,FALSE,
2026-02-27,262,SMC roll call,,FALSE,
2026-03-02,58,SMC roll call,,FALSE,
2026-03-03,14,SMC roll call,,FALSE,
2026-03-04,15,SMC roll call,,FALSE,
2026-03-05,11,SMC roll call,6,FALSE,
2026-03-06,3,SMC roll call,,FALSE,
2026-03-09,0,SMC roll call,,FALSE,
2026-03-10,0,SMC roll call,,FALSE,
2026-03-11,3,SMC roll call,,TRUE,2 at launch + 1 up the run
2026-03-12,0,SMC roll call,,FALSE,
2026-03-13,2,SMC roll call,,FALSE,
2026-03-16,0,SMC roll call,1,FALSE,
2026-03-18,9,SMC roll call,3,FALSE,
2026-03-19,38,SMC roll call,4,FALSE,
2026-03-20,91,SMC roll call,,FALSE,
2026-03-21,73,SMC roll call,,FALSE,
2026-03-23,31,SMC roll call,,FALSE,
2026-03-24,10,SMC roll call,1,FALSE,
2026-03-25,13,SMC roll call,,FALSE,
2026-03-26,2,SMC roll call,,FALSE,
